Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Adrien Dumont De Chassart (44134961),Adrien Dumont De Chassart,44134961,G,6900,Biltmore Championship Asheville,Golf,55.6,
G,Chad Ramey (44134963),Chad Ramey,44134963,G,6900,Biltmore Championship Asheville,Golf,57.3,
G,Hayden Springer (44134965),Hayden Springer,44134965,G,6900,Biltmore Championship Asheville,Golf,64.6,
G,Jesper Svensson (44134962),Jesper Svensson,44134962,G,6900,Biltmore Championship Asheville,Golf,53.8,
G,Karl Vilips (44134960),Karl Vilips,44134960,G,6900,Biltmore Championship Asheville,Golf,50.5,
G,Trace Crowe (44134964),Trace Crowe,44134964,G,6900,Biltmore Championship Asheville,Golf,61.2,
G,David Skinns (44134971),David Skinns,44134971,G,6800,Biltmore Championship Asheville,Golf,59.6,
G,Davis Chatfield (44134970),Davis Chatfield,44134970,G,6800,Biltmore Championship Asheville,Golf,50.4,
G,Joel Dahmen (44134969),Joel Dahmen,44134969,G,6800,Biltmore Championship Asheville,Golf,55.8,
G,Luke Clanton (44134967),Luke Clanton,44134967,G,6800,Biltmore Championship Asheville,Golf,45.3,
G,Takumi Kanaya (44134968),Takumi Kanaya,44134968,G,6800,Biltmore Championship Asheville,Golf,49.7,
G,Tyler Watts (44134966),Tyler Watts,44134966,G,6800,Biltmore Championship Asheville,Golf,64.8,
G,Austin Smotherman (44134972),Austin Smotherman,44134972,G,6700,Biltmore Championship Asheville,Golf,55.3,
G,Davis Riley (44134978),Davis Riley,44134978,G,6700,Biltmore Championship Asheville,Golf,49.0,
G,Erik Van Rooyen (44134976),Erik Van Rooyen,44134976,G,6700,Biltmore Championship Asheville,Golf,51.2,
G,Isaiah Salinda (44134977),Isaiah Salinda,44134977,G,6700,Biltmore Championship Asheville,Golf,47.2,
G,Lucas Glover (44134974),Lucas Glover,44134974,G,6700,Biltmore Championship Asheville,Golf,49.8,
G,Mark Hubbard (44134973),Mark Hubbard,44134973,G,6700,Biltmore Championship Asheville,Golf,53.7,
G,Webb Simpson (44134975),Webb Simpson,44134975,G,6700,Biltmore Championship Asheville,Golf,43.5,
G,Ben Silverman (44134981),Ben Silverman,44134981,G,6600,Biltmore Championship Asheville,Golf,48.8,
G,Cameron Champ (44134979),Cameron Champ,44134979,G,6600,Biltmore Championship Asheville,Golf,51.4,
G,Chandler Blanchet (44134983),Chandler Blanchet,44134983,G,6600,Biltmore Championship Asheville,Golf,48.5,
G,David Lipsky (44134985),David Lipsky,44134985,G,6600,Biltmore Championship Asheville,Golf,55.6,
G,Lanto Griffin (44134982),Lanto Griffin,44134982,G,6600,Biltmore Championship Asheville,Golf,57.3,
G,Paul Peterson (44134984),Paul Peterson,44134984,G,6600,Biltmore Championship Asheville,Golf,61.5,
G,Pontus Nyholm (44134980),Pontus Nyholm,44134980,G,6600,Biltmore Championship Asheville,Golf,52.6,
G,Aaron Wise (44134989),Aaron Wise,44134989,G,6500,Biltmore Championship Asheville,Golf,45.3,
G,Adam Hadwin (44134990),Adam Hadwin,44134990,G,6500,Biltmore Championship Asheville,Golf,51.0,
G,Gordon Sargent (44134986),Gordon Sargent,44134986,G,6500,Biltmore Championship Asheville,Golf,47.3,
G,Hank Lebioda (44134992),Hank Lebioda,44134992,G,6500,Biltmore Championship Asheville,Golf,49.5,
G,Jimmy Stanger (44134991),Jimmy Stanger,44134991,G,6500,Biltmore Championship Asheville,Golf,49.0,
G,John VanDerLaan (44134988),John VanDerLaan,44134988,G,6500,Biltmore Championship Asheville,Golf,47.2,
G,Kevin Streelman (44134987),Kevin Streelman,44134987,G,6500,Biltmore Championship Asheville,Golf,55.6,
G,Dylan Wu (44134997),Dylan Wu,44134997,G,6400,Biltmore Championship Asheville,Golf,48.8,
G,Harry Higgs (44134994),Harry Higgs,44134994,G,6400,Biltmore Championship Asheville,Golf,49.2,
G,Jeffrey Kang (44134998),Jeffrey Kang,44134998,G,6400,Biltmore Championship Asheville,Golf,40.1,
G,Nick Hardy (44134993),Nick Hardy,44134993,G,6400,Biltmore Championship Asheville,Golf,46.7,
G,Tyler Duncan (44134995),Tyler Duncan,44134995,G,6400,Biltmore Championship Asheville,Golf,53.9,
G,Vince Whaley (44134996),Vince Whaley,44134996,G,6400,Biltmore Championship Asheville,Golf,45.4,
G,Will Gordon (44134999),Will Gordon,44134999,G,6400,Biltmore Championship Asheville,Golf,52.2,
G,Brendan Valdes (44135003),Brendan Valdes,44135003,G,6300,Biltmore Championship Asheville,Golf,52.2,
G,Brice Garnett (44135002),Brice Garnett,44135002,G,6300,Biltmore Championship Asheville,Golf,42.4,
G,Carson Bertagnole (44135004),Carson Bertagnole,44135004,G,6300,Biltmore Championship Asheville,Golf,23.5,
G,Danny Walker (44135005),Danny Walker,44135005,G,6300,Biltmore Championship Asheville,Golf,50.0,
G,Jonathan Byrd (44135006),Jonathan Byrd,44135006,G,6300,Biltmore Championship Asheville,Golf,50.4,
G,Justin Lower (44135001),Justin Lower,44135001,G,6300,Biltmore Championship Asheville,Golf,49.4,
G,Nick Dunlap (44135000),Nick Dunlap,44135000,G,6300,Biltmore Championship Asheville,Golf,42.3,
G,Adam Svensson (44135009),Adam Svensson,44135009,G,6200,Biltmore Championship Asheville,Golf,48.4,
G,Alejandro Tosti (44135007),Alejandro Tosti,44135007,G,6200,Biltmore Championship Asheville,Golf,36.3,
G,Cameron Davis (44135011),Cameron Davis,44135011,G,6200,Biltmore Championship Asheville,Golf,39.0,
G,Camilo Villegas (44135008),Camilo Villegas,44135008,G,6200,Biltmore Championship Asheville,Golf,56.1,
G,Fabián Gómez (44135012),Fabián Gómez,44135012,G,6200,Biltmore Championship Asheville,Golf,60.1,
G,Henrik Norlander (44135010),Henrik Norlander,44135010,G,6200,Biltmore Championship Asheville,Golf,47.9,
G,Troy Merritt (44135013),Troy Merritt,44135013,G,6200,Biltmore Championship Asheville,Golf,64.4,
G,Adam Schenk (44135015),Adam Schenk,44135015,G,6100,Biltmore Championship Asheville,Golf,39.5,
G,Christo Lamprecht (44135021),Christo Lamprecht,44135021,G,6100,Biltmore Championship Asheville,Golf,40.3,
G,Jeremy Paul (44135020),Jeremy Paul,44135020,G,6100,Biltmore Championship Asheville,Golf,58.1,
G,Kevin Kisner (44135016),Kevin Kisner,44135016,G,6100,Biltmore Championship Asheville,Golf,26.5,
G,Luke List (44135014),Luke List,44135014,G,6100,Biltmore Championship Asheville,Golf,51.4,
G,Patton Kizzire (44135017),Patton Kizzire,44135017,G,6100,Biltmore Championship Asheville,Golf,39.8,
G,Peter Malnati (44135018),Peter Malnati,44135018,G,6100,Biltmore Championship Asheville,Golf,51.1,
G,Rafael Campos (44135019),Rafael Campos,44135019,G,6100,Biltmore Championship Asheville,Golf,40.6,
G,Ben Martin (44135023),Ben Martin,44135023,G,6000,Biltmore Championship Asheville,Golf,49.5,
G,Brendon Todd (44135029),Brendon Todd,44135029,G,6000,Biltmore Championship Asheville,Golf,34.7,
G,Kensei Hirata (44135022),Kensei Hirata,44135022,G,6000,Biltmore Championship Asheville,Golf,43.8,
G,Marcelo Rozo (44135025),Marcelo Rozo,44135025,G,6000,Biltmore Championship Asheville,Golf,35.1,
G,Michael Thompson (44135026),Michael Thompson,44135026,G,6000,Biltmore Championship Asheville,Golf,54.3,
G,Morgan DeNeen (44135027),Morgan DeNeen,44135027,G,6000,Biltmore Championship Asheville,Golf,0.0,
G,Ryan Brehm (44135028),Ryan Brehm,44135028,G,6000,Biltmore Championship Asheville,Golf,36.6,
G,Tyler Jones (44135024),Tyler Jones,44135024,G,6000,Biltmore Championship Asheville,Golf,0.0,
