PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Nick Dunlap,6600,0.11359321410491383,56.8,-,300.0,68.8,59.0,189,174,179,81,42,56,157,63,170,173,178,151,178,148,143
Patrick Fishburn,6800,0.1103721637171022,56.5,-,200.0,50.0,121.0,587,93,43,113,133,127,141,154,73,68,139,53,162,52,124
Adam Svensson,7200,0.1096815883100751,62.2,-,125.0,57.9,190.0,173,70,113,89,37,159,156,119,94,74,97,154,29,49,102
Takumi Kanaya,6700,0.10939224708069646,72.2,-,200.0,27.3,177.0,109,116,65,164,45,33,155,37,56,108,87,170,5,80,11
Brandt Snedeker,6700,0.10805799586156384,58.3,-,250.0,61.5,290.0,295,165,155,160,93,2,120,63,73,124,112,175,16,155,22
Steven Fisk,7000,0.10560298847540503,64.2,-,150.0,54.5,154.0,98,14,23,30,59,173,146,96,94,25,11,20,82,8,90
Matt Kuchar,7100,0.10121811786453805,44.4,-,100.0,81.2,134.0,329,100,146,104,23,37,154,63,23,165,152,172,53,163,9
Trey Mullinax,7100,0.10110678336348355,66.0,-,150.0,43.8,355.0,159,125,53,137,148,18,29,119,23,18,91,13,167,28,109
Carson Young,6900,0.10003844828966194,58.8,-,150.0,61.1,168.0,410,96,31,106,155,86,131,37,39,173,62,142,21,61,42
Alejandro Tosti,7100,0.09869886176023987,65.1,-,150.0,44.4,137.0,317,46,30,118,23,171,58,107,73,60,26,8,121,110,82
Cameron Young,7500,0.09861610513556168,53.6,-,70.0,62.5,66.0,521,144,66,166,109,25,48,175,135,74,115,22,175,162,166
Tim Widing,6400,0.09525361667546287,90.0,-,600.0,0.0,242.0,0,147,102,120,163,168,39,163,152,29,91,21,159,135,178
Luke Clanton,9000,0.09482643141437098,43.9,-,40.0,71.4,115.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Justin Rose,7700,0.09466536053658439,54.2,-,70.0,54.5,19.0,1054,142,141,110,127,90,37,133,170,74,145,136,83,166,173
Danny Willett,6500,0.09222311322107944,68.0,-,400.0,40.0,353.0,108,156,117,177,8,11,179,29,94,179,154,158,68,133,4
Mark Hubbard,7400,0.08362043357593536,56.5,-,80.0,60.0,113.0,473,113,108,76,141,101,94,96,73,101,55,98,63,92,89
Beau Hossler,7000,0.07795764158969667,45.5,-,150.0,84.2,98.0,672,133,162,150,5,68,127,78,135,108,162,65,169,175,57
Davis Riley,7900,0.07615209735652011,61.6,-,70.0,52.9,54.0,595,155,160,152,35,32,38,146,124,6,99,49,135,116,147
Mac Meissner,6800,0.07255072440414749,52.8,-,200.0,75.0,157.0,214,91,167,56,26,112,168,51,94,176,160,99,132,166,17
Greyson Sigg,6600,0.07222550369207942,58.3,-,250.0,50.0,204.0,422,54,87,55,78,164,171,78,56,147,96,145,37,63,40
Brice Garnett,6800,0.0682663262927636,63.5,-,250.0,57.1,189.0,143,118,101,158,18,30,132,8,23,124,89,167,11,25,6
Kris Ventura,6700,0.06536755430245919,61.3,-,200.0,58.3,201.0,221,136,77,127,157,57,118,133,73,74,25,24,101,66,81
Kaito Onishi,6200,0.06412050088106809,83.2,-,1000.0,22.2,384.0,12,150,110,163,79,130,165,51,152,108,101,99,86,156,20
Noah Goodwin,6400,0.06371558097661323,71.3,-,500.0,50.0,356.0,30,138,134,125,116,150,116,172,94,87,47,106,51,104,98
Ben Kohles,6500,0.0635422343855635,66.7,-,400.0,50.0,192.0,151,114,94,102,130,106,100,63,23,108,67,161,4,23,40
William Mouw,6600,0.059807489329800026,77.6,-,400.0,30.0,218.0,33,169,45,171,176,73,77,78,112,165,114,59,136,117,136
Justin Lower,6900,0.05851298047797106,61.3,-,150.0,47.6,111.0,674,157,100,130,168,19,109,154,56,108,55,120,41,122,56
David Lipsky,6300,0.05737657933482656,68.1,-,1000.0,38.9,210.0,488,124,163,81,48,176,170,119,175,50,165,162,77,137,57
Braden Thornberry,6200,0.0566425986645354,87.8,-,1000.0,11.1,324.0,3,177,175,175,56,22,165,37,178,40,176,117,173,176,108
Thomas Rosenmueller,6500,0.056289620225550084,79.9,-,400.0,33.3,243.0,15,109,22,101,173,172,92,51,124,87,7,25,70,24,162
Emiliano Grillo,7100,0.05372697641626809,59.4,-,100.0,61.5,152.0,210,128,99,65,172,46,105,78,94,147,34,108,31,120,139
John Pak,6500,0.053192142711288824,59.6,-,500.0,77.8,261.0,92,126,161,61,99,166,172,78,165,108,124,169,32,145,50
Chandler Phillips,6800,0.051267016979709604,51.1,-,150.0,68.4,163.0,352,112,132,95,82,131,143,51,161,87,115,135,62,141,104
Max Homa,8200,0.050546580456768464,63.9,-,70.0,53.3,90.0,229,172,119,178,123,104,150,154,161,172,143,124,93,173,99
Adam Hadwin,6900,0.04972998494127786,63.2,-,150.0,62.5,105.0,177,159,145,162,60,117,72,37,152,151,120,112,88,160,167
Luke List,6700,0.04966015091487508,68.2,-,250.0,50.0,198.0,124,149,10,172,139,137,169,172,124,101,14,14,90,136,79
Will Gordon,6600,0.04610744198220375,67.1,-,300.0,44.4,272.0,239,103,76,90,137,153,157,107,152,25,80,18,154,17,103
Nate Lashley,6600,0.04599381068030133,64.8,-,300.0,50.0,221.0,211,115,142,69,122,135,175,141,94,124,158,113,117,100,24
Hayden Springer,6500,0.04568995064832872,53.9,-,300.0,64.3,159.0,314,139,82,128,156,69,44,22,161,40,42,28,125,108,154
Camilo Villegas,6200,0.045260720268763974,71.1,-,1000.0,50.0,286.0,133,160,173,86,76,63,123,63,135,158,179,164,176,159,133
Matthieu Pavon,6700,0.04451146937781286,59.0,-,200.0,73.3,72.0,115,168,102,153,177,36,151,163,170,151,128,124,81,161,159
Kevin Velo,6400,0.04233542711827806,86.3,-,600.0,11.1,401.0,5,129,69,145,126,170,146,176,112,108,110,140,48,77,79
Jeremy Paul,6700,0.04222983380534462,66.5,-,250.0,50.0,253.0,85,131,59,142,143,118,88,78,94,9,55,31,130,52,94
Cristobal Del Solar,6200,0.039883634043124845,85.1,-,1000.0,22.2,316.0,7,175,164,165,162,42,161,163,112,176,174,105,171,151,172
Joseph Bramlett,6800,0.038995819412683166,59.7,-,200.0,63.6,214.0,113,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Aaron Baddeley,6200,0.03697270818095437,74.9,-,1000.0,46.7,434.0,56,167,178,134,3,161,177,107,152,178,175,166,122,169,86
Mason Andersen,6300,0.036967657353979326,81.8,-,1000.0,33.3,422.0,11,171,170,168,85,34,164,107,135,138,171,104,146,170,52
Dylan Wu,6600,0.03620710907663112,75.5,-,1000.0,36.4,274.0,66,107,103,103,103,99,102,92,95,96,102,100,96,95,99
David Skinns,6400,0.03573034786837588,72.4,-,600.0,47.4,318.0,72,161,171,112,92,109,148,141,135,74,139,41,174,115,137
Chad Ramey,6700,0.03372255522883662,63.5,-,250.0,50.0,247.0,240,146,135,111,144,78,160,19,124,108,161,160,72,60,59
Lanto Griffin,6600,0.03290905465217981,60.1,-,500.0,58.8,301.0,233,119,72,79,164,148,145,37,135,161,135,133,79,134,111
Harry Higgs,6500,0.02948054952439282,65.9,-,300.0,58.3,144.0,90,163,68,156,174,88,118,96,165,124,110,43,145,157,157
Peter Malnati,6100,0.028777398663631087,81.7,-,1000.0,27.8,203.0,29,170,172,176,7,167,178,78,177,161,177,116,177,179,92
Nick Hardy,6800,0.02802276508462449,72.1,-,200.0,27.8,332.0,199,110,79,94,142,145,136,51,124,147,55,34,127,25,163
Ryan Palmer,6100,0.027674223094417295,84.7,-,1000.0,15.4,618.0,20,179,120,179,140,179,173,179,170,14,173,130,139,174,161
Jackson Suber,6400,0.02720096735795054,68.1,-,600.0,45.5,240.0,118,107,156,18,149,158,138,96,170,108,142,56,160,107,144
Hayden Buckley,6500,0.025458410852640383,88.3,-,500.0,6.7,361.0,4,154,21,146,178,165,162,163,124,138,19,79,33,43,119
Ben Silverman,6600,0.024238872492830826,71.6,-,300.0,40.0,222.0,184,143,133,154,53,102,176,107,135,138,135,101,111,150,55
Taylor Dickson,6300,0.02369863143744102,74.5,-,1000.0,40.0,229.0,47,158,150,151,71,134,174,63,165,171,168,129,116,168,54
Will Chandler,6200,0.023315083899478985,76.5,-,1000.0,36.4,271.0,105,164,122,174,51,93,163,146,135,161,138,133,80,172,113
Yi Cao,6200,0.02116943948253646,90.0,-,1000.0,51.5,805.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Rafael Campos,6300,0.019611422149894822,73.7,-,1000.0,34.8,211.0,599,176,165,170,147,114,159,172,175,151,152,77,148,177,164
Matthew Riedel,6100,0.015584975021031877,73.6,-,1000.0,50.0,479.0,22,173,157,123,179,78,167,107,152,173,151,74,150,93,114
Trevor Cone,6300,0.015153652367522316,85.3,-,1000.0,12.5,468.0,6,153,136,121,154,177,122,146,165,124,83,22,151,57,171
Barend Botha,6300,0.014448589697712195,90.0,-,1000.0,51.5,316.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Kevin Kisner,6300,0.013722994846226319,83.3,-,1000.0,16.7,948.0,27,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Roger Sloan,6400,0.013717301050519382,74.1,-,1000.0,42.9,477.0,25,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Harrison Endycott,6100,0.013684594374504672,90.0,-,1000.0,0.0,804.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Sudarshan Yellamaraju,6500,0.013453504904028735,90.0,-,500.0,51.5,296.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Matthew Anderson,6400,0.012684062970365386,90.0,-,1000.0,51.5,339.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Philip Knowles,6000,0.012309168553180636,80.8,-,1000.0,27.3,529.0,23,107,103,103,103,99,102,92,95,96,102,100,96,95,99
A.J. Ewart,6400,0.012062902317355852,90.0,-,600.0,51.5,590.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Myles Creighton,6300,0.012062902317355852,90.0,-,1000.0,51.5,428.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
