PLAYER,SALARY,P_TOP20,SCORE,MODEL_SCORE,ODDS_SHARE,LEVERAGE,VEGAS_ODDS,SG_FORM,PCT_FORM_SHRUNK,SG_CH_SHRUNK,CUT_PERCENTAGE,FEDEX_CUP_POINTS,OWGR_RANK
Ricky Castillo,7100,0.223,0.703,0.6173,0.007,6.5,100.0,0.29,0.43,1.03,84.2,472.0,173.0
Jackson Suber,7200,0.218,0.6644,0.6016,0.0078,-20.0,90.0,0.5,0.41,-1.28,66.7,506.0,183.0
Marco Penge,7200,0.216,0.6862,0.6115,0.007,1.5,100.0,-0.06,0.5,0.0,57.1,310.0,29.0
Lee Hodges,7000,0.216,0.6762,0.6102,0.007,-1.5,100.0,0.52,0.403,-0.13,64.7,490.0,138.0
Johnny Keefer,7200,0.216,0.6829,0.6105,0.007,0.5,100.0,0.21,0.454,0.0,65.2,490.0,48.0
Max Greyserman,7400,0.216,0.693,0.6124,0.007,3.5,100.0,0.12,0.476,1.47,57.1,367.0,32.0
Matt McCarty,6900,0.214,0.6628,0.6067,0.007,-5.5,100.0,0.09,0.46,1.7,63.6,772.0,55.0
Denny McCarthy,7200,0.214,0.6896,0.6123,0.007,2.5,100.0,0.18,0.475,1.25,76.2,441.0,72.0
Andrew Novak,6900,0.214,0.6728,0.6089,0.007,-2.5,100.0,-0.31,0.517,-0.16,62.5,367.0,33.0
Jason Day,7200,0.214,0.6007,0.6015,0.0056,-3.0,125.0,-0.09,0.525,0.83,73.3,495.0,54.0
Pierceson Coody,7200,0.214,0.6711,0.6197,0.0056,18.0,125.0,0.16,0.393,-1.03,72.0,802.0,96.0
Kevin Yu,7100,0.208,0.6443,0.6103,0.0056,10.0,125.0,0.46,0.502,-1.51,44.4,281.0,90.0
Max McGreevy,7000,0.208,0.6242,0.6061,0.0056,4.0,125.0,0.21,0.436,0.94,60.9,648.0,67.0
Sam Stevens,6900,0.208,0.6074,0.6021,0.0056,-1.0,125.0,-0.13,0.468,-1.39,75.0,711.0,50.0
Sahith Theegala,7300,0.205,0.6913,0.6069,0.0078,-12.0,90.0,0.26,0.384,-2.03,91.3,886.0,119.0
Zac Blair,7200,0.203,0.6997,0.6148,0.007,5.5,100.0,0.63,0.37,-0.5,81.8,327.0,269.0
Tony Finau,7100,0.199,0.6107,0.6032,0.0056,0.0,125.0,-0.23,0.467,0.2,75.0,412.0,94.0
Daniel Berger,7000,0.197,0.6208,0.6058,0.0056,3.0,125.0,-0.13,0.497,0.15,68.4,709.0,61.0
Nico Echavarria,7000,0.194,0.6091,0.5907,0.007,-21.5,100.0,-0.14,0.497,0.94,66.7,1060.0,52.0
Andrew Putnam,6700,0.191,0.6342,0.6079,0.0056,7.0,125.0,0.18,0.407,0.48,77.3,579.0,180.0
Beau Hossler,7000,0.186,0.6141,0.6041,0.0056,1.0,125.0,0.11,0.459,0.37,56.2,170.0,134.0
Kris Ventura,6800,0.183,0.5973,0.6015,0.0056,-4.0,125.0,-0.16,0.514,-0.05,30.8,105.0,217.0
John Parry,6700,0.182,0.5503,0.5934,0.0047,2.0,150.0,0.15,0.388,0.0,76.5,340.0,82.0
Kevin Roy,7100,0.182,0.557,0.5965,0.0047,4.0,150.0,0.08,0.427,-0.49,65.0,331.0,147.0
