PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Doug Ghim,7100,0.18075213210958246,46.6,66.8,125.0,78.9,116.0,621,24,50,27,63,176,105,40,84,114,64,99,64,46,125
William Mouw,6400,0.17642638490928736,76.2,60.6,500.0,33.3,205.0,33,171,59,171,178,33,74,85,100,170,134,66,144,107,141
Brandt Snedeker,6100,0.17329278396695866,60.1,51.6,600.0,63.6,411.0,119,170,148,173,112,5,131,61,84,114,111,175,20,149,11
Rico Hoey,7100,0.17291490788570268,61.0,60.6,125.0,50.0,117.0,97,11,6,42,89,180,50,111,48,30,3,74,16,3,137
Henrik Norlander,6800,0.16871155751933023,53.0,76.7,150.0,61.1,173.0,372,52,139,2,165,88,104,40,35,96,80,147,25,43,26
Tom Hoge,7400,0.16812683980695226,41.4,60.1,100.0,84.2,47.0,872,110,169,21,106,65,83,135,48,96,146,149,68,153,35
Patrick Rodgers,7100,0.16790227048101156,44.6,55.2,100.0,79.2,81.0,897,97,114,137,33,93,110,61,48,160,61,50,112,138,30
Patton Kizzire,6200,0.15613158219718357,71.3,64.2,600.0,36.8,145.0,609,103,152,111,28,152,70,153,84,114,158,146,87,157,71
Andrew Putnam,6700,0.14985050390573793,52.6,48.1,150.0,60.0,149.0,275,85,171,33,17,45,137,61,11,96,100,178,7,7,12
Alejandro Tosti,7100,0.14978049926708698,63.6,17.0,150.0,47.1,130.0,317,43,23,122,31,170,59,111,48,70,25,9,114,118,79
Isaiah Salinda,6900,0.14773693562045492,53.4,60.6,200.0,70.0,162.0,309,58,12,134,80,144,20,40,115,30,5,19,76,59,78
